season,teamName,teamScore,assists,reboundsDefensive,reboundsOffensive,reboundsTotal,steals,blocks,turnovers,foulsPersonal,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,plusMinusPoints
1963-1964,Pistons,107.75,,,,55.0,,,,26.0,41.82,83.0,0.42,,,,24.1,33.24,0.73,-7.72
1963-1964,Royals,113.73,24.0,,,58.0,,,,41.17,43.5,96.0,0.4,,,,26.62,35.12,0.76,4.63
1963-1964,Warriors,107.52,24.43,,,61.62,,,,25.31,42.5,96.67,0.44,,,,22.54,35.36,0.64,4.89
1964-1965,76ers,112.45,,,,,,,,,42.35,,,,,,27.75,37.8,0.74,0.13
1964-1965,Bullets,113.7,,,,,,,,,42.81,,,,,,28.08,39.38,0.71,-1.66
1964-1965,Celtics,113.32,,,,,,,,,44.8,,,,,,23.71,32.36,0.73,8.2
1964-1965,Hawks,108.83,,,,,,,,,40.88,,,,,,27.06,36.73,0.74,2.67
1964-1965,Knicks,107.41,,,,,,,,,41.74,,,,,,23.94,33.61,0.71,-3.66
1964-1965,Lakers,112.14,,,,,,,,,41.74,,,,,,28.67,37.69,0.77,1.1
1964-1965,Pistons,108.51,,,,,,,,,43.32,,,,,,21.86,31.8,0.69,-3.18
1964-1965,Royals,114.02,,,,,,,,26.0,43.48,,,,,,27.08,35.54,0.76,1.93
1964-1965,Warriors,105.81,,,,,,,,30.0,41.54,,,,,,22.74,35.55,0.64,-5.77
1965-1966,76ers,116.55,,,,93.0,,,,26.1,45.22,,,,,,26.11,39.27,0.67,3.84
1965-1966,Bullets,117.93,,,,,,,,27.63,44.98,,,,,,27.98,39.52,0.71,-1.34
