Milwaukee-Orlando,2012926
New Orleans-Philadelphia,1968967
Atlanta-Phoenix,2918400
Miami-Utah,4093443
Portland-Dallas,3247520
Toronto-Cleveland,469115
Golden State-Detroit,3876426
Minnesota-Orlando,2774437
San Antonio-Milwaukee,2052207
Portland-New Orleans,4059252
Toronto-New York,757382
Detroit-Brooklyn,995335
Oklahoma City-Cleveland,1700472
Boston-Denver,3168597
Miami-Golden State,4623541
Atlanta-Utah,3020960
Minnesota-New Orleans,2218227
Phoenix-Charlotte,3301045
Houston-Washington,2266600
Miami-Sacramento,4893214
San Antonio-Chicago,1930031
Indiana-Brooklyn,1120981
Orlando-New York,1727632
Milwaukee-Toronto,997721
Portland-Detroit,3845061
Phoenix-Philadelphia,3766998
Los Angeles-Houston,2490898
Utah-Orlando,3723319
Charlotte-Cleveland,831277
New Orleans-Washington,1744954
Boston-Oklahoma City,2716686
Atlanta-Los Angeles,3512059
Utah-Miami,4086784
New York-Chicago,1271788
Portland-Milwaukee,3287850
Denver-San Antonio,1500871
Minnesota-Detroit,1377763
Phoenix-Indiana,2864351
Cleveland-Dallas,1903102
Boston-Houston,2972290
Washington-New Orleans,1745910
New York-Oklahoma City,2329785
Portland-Los Angeles,1550232
Philadelphia-Golden State,4562689
Brooklyn-Milwaukee,1438829
Boston-Minnesota,2503508
Philadelphia-Sacramento,4481752
Atlanta-Denver,2257375
New Orleans-Miami,1392345
Utah-New York,3500055
Brooklyn-Toronto,796201
Orlando-Detroit,1867894
Chicago-Washington,1121810
Toronto-Boston,883829
Cleveland-Golden State,3972377
Philadelphia-Portland,4608160
Denver-Utah,838953
New York-Washington,363979
Miami-Houston,1917703
Indiana-Boston,1430679
Atlanta-Toronto,1531546
Brooklyn-Orlando,1744338
Dallas-Portland,3246592
Philadelphia-Utah,3445971
Detroit-Denver,2040622
Milwaukee-Chicago,147495
Oklahoma City-Charlotte,1760395
Cleveland-Denver,2141472
Dallas-Phoenix,1712025
San Antonio-Brooklyn,2941571
New York-Orlando,1739850
Utah-Portland,1232265
Detroit-Sacramento,3712572
Toronto-Memphis,1565540
Chicago-Atlanta,1153408
Miami-Orlando,385173
Charlotte-Washington,644131
San Antonio-New York,2934630
Indiana-Golden State,3660194
Washington-Oklahoma City,2160346
Minnesota-Atlanta,2069251
Brooklyn-Miami,2082594
Houston-Charlotte,1671599
Utah-Cleveland,2784650
San Antonio-Philadelphia,2804476
Denver-New Orleans,2095732
Houston-Toronto,2462965
Indiana-Sacramento,3545237
Detroit-Phoenix,3195811
Portland-San Antonio,3345173
Philadelphia-Cleveland,697024
Boston-Chicago,1581564
Washington-Milwaukee,1286383
New York-New Orleans,2097529
Memphis-Atlanta,629753
Utah-Brooklyn,3506996
Oklahoma City-Miami,2432337
Milwaukee-Cleveland,717537
Charlotte-Philadelphia,871592
New York-Minnesota,2193731
Indiana-Phoenix,2866295
Atlanta-San Antonio,1589066
Utah-Detroit,2682822
Oklahoma City-Orlando,2068873
Miami-Detroit,2236394
Philadelphia-Charlotte,878466
Portland-Phoenix,2045944
Minnesota-San Antonio,2265048
Boston-Washington,707097
New Orleans-Indiana,1442053
Phoenix-Utah,1066262
Brooklyn-Memphis,1769240
Washington-Cleveland,600073
Detroit-Boston,1135689
Toronto-Miami,2398988
Utah-Sacramento,1044521
Memphis-Washington,1411043
Phoenix-Orlando,3439994
Denver-Atlanta,2257348
Milwaukee-Brooklyn,1439883
Memphis-Boston,2118606
Phoenix-Miami,3803459
Dallas-Toronto,2275810
Denver-Washington,2667208
Sacramento-San Antonio,2792073
Milwaukee-Boston,1743067
Orlando-Philadelphia,1589445
Sacramento-Memphis,3355359
Phoenix-New Orleans,2448857
Chicago-San Antonio,1929252
Charlotte-New York,1009779
Oklahoma City-Toronto,2020373
Denver-Cleveland,2150399
Dallas-Washington,2137109
Golden State-Denver,1836994
Indiana-Toronto,706798
